         3007281 function calls (3003108 primitive calls) in 1.790 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2319840    0.605    0.000    0.605    0.000 util.py:10(<genexpr>)
     1660    0.258    0.000    0.258    0.000 timing.py:20(<dictcomp>)
        5    0.201    0.040    0.408    0.082 df_col.py:50(filter)
     1660    0.176    0.000    0.176    0.000 df_col.py:53(<dictcomp>)
     1660    0.158    0.000    0.158    0.000 timing.py:13(<listcomp>)
8066/3916    0.146    0.000    0.851    0.000 {built-in method builtins.all}
     4150    0.096    0.000    0.846    0.000 util.py:7(dict_match)
     1660    0.050    0.000    0.050    0.000 df_row.py:43(<dictcomp>)
        5    0.049    0.010    0.049    0.010 df_row.py:49(<listcomp>)
   631305    0.027    0.000    0.027    0.000 {method 'append' of 'list' objects}
        1    0.005    0.005    1.790    1.790 timing.py:1(<module>)
       15    0.002    0.000    0.006    0.000 df_col.py:6(__init__)
     4165    0.002    0.000    0.848    0.000 df_row.py:8(<genexpr>)
     3891    0.001    0.000    0.003    0.000 util.py:2(all_eq)
        1    0.001    0.001    1.782    1.782 timing.py:51(sweep)
       10    0.001    0.000    0.214    0.021 timing.py:42(time_select)
     7782    0.001    0.000    0.001    0.000 util.py:3(<genexpr>)
       10    0.001    0.000    0.687    0.069 timing.py:30(time_filter)
     1660    0.001    0.000    0.159    0.000 timing.py:12(_col)
     1660    0.001    0.000    0.259    0.000 timing.py:19(_row)
        5    0.001    0.000    0.159    0.032 timing.py:14(<dictcomp>)
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
        5    0.001    0.000    0.050    0.010 df_row.py:43(<listcomp>)
     3320    0.001    0.000    0.001    0.000 timing.py:31(f)
        5    0.000    0.000    0.259    0.052 timing.py:23(<listcomp>)
     8305    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 timing.py:43(<listcomp>)
        5    0.000    0.000    0.000    0.000 timing.py:18(<listcomp>)
     3876    0.000    0.000    0.000    0.000 df_col.py:10(<genexpr>)
        5    0.000    0.000    0.000    0.000 df_col.py:51(<dictcomp>)
       10    0.000    0.000    0.000    0.000 timing.py:44(<listcomp>)
       22    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        5    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        5    0.000    0.000    0.162    0.032 timing.py:11(make_col)
      561    0.000    0.000    0.000    0.000 df_row.py:42(<genexpr>)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        5    0.000    0.000    0.000    0.000 {built-in method io.open_code}
