         3007281 function calls (3003108 primitive calls) in 2.025 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2319840    0.694    0.000    0.694    0.000 util.py:10(<genexpr>)
     1660    0.257    0.000    0.257    0.000 timing.py:20(<dictcomp>)
        5    0.254    0.051    0.500    0.100 df_col.py:50(filter)
8066/3916    0.200    0.000    0.996    0.000 {built-in method builtins.all}
     1660    0.186    0.000    0.186    0.000 df_col.py:53(<dictcomp>)
     1660    0.141    0.000    0.141    0.000 timing.py:13(<listcomp>)
     4150    0.098    0.000    0.991    0.000 util.py:7(dict_match)
        5    0.059    0.012    0.059    0.012 df_row.py:49(<listcomp>)
   631305    0.056    0.000    0.056    0.000 {method 'append' of 'list' objects}
     1660    0.049    0.000    0.049    0.000 df_row.py:43(<dictcomp>)
        1    0.009    0.009    2.025    2.025 timing.py:1(<module>)
       15    0.003    0.000    0.007    0.000 df_col.py:6(__init__)
     4165    0.003    0.000    0.993    0.000 df_row.py:8(<genexpr>)
     3891    0.002    0.000    0.004    0.000 util.py:2(all_eq)
     1660    0.001    0.000    0.142    0.000 timing.py:12(_col)
        5    0.001    0.000    0.143    0.029 timing.py:14(<dictcomp>)
     1660    0.001    0.000    0.258    0.000 timing.py:19(_row)
        1    0.001    0.001    2.013    2.013 timing.py:51(sweep)
     7782    0.001    0.000    0.001    0.000 util.py:3(<genexpr>)
     3320    0.001    0.000    0.001    0.000 timing.py:31(f)
       10    0.001    0.000    0.237    0.024 timing.py:42(time_select)
       10    0.001    0.000    0.832    0.083 timing.py:30(time_filter)
        5    0.001    0.000    0.050    0.010 df_row.py:43(<listcomp>)
     8305    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
        5    0.001    0.000    0.259    0.052 timing.py:23(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
     3876    0.000    0.000    0.000    0.000 df_col.py:10(<genexpr>)
       10    0.000    0.000    0.000    0.000 timing.py:43(<listcomp>)
        5    0.000    0.000    0.000    0.000 timing.py:18(<listcomp>)
        5    0.000    0.000    0.000    0.000 df_col.py:51(<dictcomp>)
        5    0.000    0.000    0.147    0.029 timing.py:11(make_col)
       22    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       10    0.000    0.000    0.000    0.000 timing.py:44(<listcomp>)
        6    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        5    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        5    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
      561    0.000    0.000    0.000    0.000 df_row.py:42(<genexpr>)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      561    0.000    0.000    0.000    0.000 df_col.py:45(<genexpr>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        5    0.000    0.000    0.000    0.000 df_col.py:46(<dictcomp>)
       15    0.000    0.000    0.994    0.066 df_row.py:6(__init__)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        5    0.000    0.000    0.001    0.000 df_col.py:44(select)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       40    0.000    0.000    0.000    0.000 {built-in method time.time}
      6/3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1167(_find_and_load)
        5    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        1    0.000    0.000    0.000    0.000 df_row.py:5(DfRow)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
       42    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        5    0.000    0.000    0.797    0.159 timing.py:17(make_row)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      6/3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:666(_load_unlocked)
       66    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        5    0.000    0.000    0.000    0.000 df_col.py:18(nrow)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        5    0.000    0.000    0.234    0.047 df_row.py:41(select)
      6/3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
      5/3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:934(exec_module)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 csv.py:1(<module>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      6/1    0.000    0.000    2.025    2.025 {built-in method builtins.exec}
        5    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        5    0.000    0.000    0.331    0.066 df_row.py:48(filter)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        3    0.000    0.000    0.000    0.000 {built-in method _csv.register_dialect}
        6    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
       66    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      122    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
